Par suglasnika	Relativna frekvencija
bb	0.00032977280389458
bc	0.0005727632909747969
bč	0
bć	0
bd	0.0008536224253921903
bđ	0
bf	0.000021038137409542584
bg	0.00045757948865755117
bh	0.00019355086416779176
bj	0.0020959244394256797
bk	0.0005012336237823521
bl	0.0046830893873641794
bm	0.0006258845879338918
bn	0.0027244387945357645
bp	0.00021616686188305004
bq	0
br	0.005580365947881171
bs	0.0011613051850067507
bš	0
bt	0.0009861626910723086
bv	0.0012596584773963621
bw	0.0000010519068704771292
bx	0
by	0
bz	0.0009088475360922396
bž	0
cb	0.0004233925153670445
cc	0.00010834640765914431
cč	0
cć	0
cd	0.0005196419940157018
cđ	0
cf	0.00017461654049920344
cg	0.0004391711184242014
ch	0.00027559960006500784
cj	0.004918716526351056
ck	0.001213900528530607
cl	0.0008478369376045661
cm	0.0029016851022111607
cn	0.002243191401292478
cp	0.0016062617912185762
cq	0
cr	0.0024088667333926257
cs	0.0011497342094315022
cš	0
ct	0.0007826187116349841
cv	0.0008047087559150038
cw	5.259534352385646e-7
cx	0
cy	0
cz	0.0005391022711195287
cž	0
čb	0
čc	0
čč	0
čć	0
čd	0
čđ	0
čf	0
čg	0
čh	0
čj	0
čk	0
čl	0
čm	0
čn	0
čp	0
čq	0
čr	0
čs	0
čš	0
čt	0
čv	0
čw	0
čx	0
čy	0
čz	0
čž	0
ćb	0
ćc	0
ćč	0
ćć	0
ćd	0
ćđ	0
ćf	0
ćg	0
ćh	0
ćj	0
ćk	0
ćl	0
ćm	0
ćn	0
ćp	0
ćq	0
ćr	0
ćs	0
ćš	0
ćt	0
ćv	0
ćw	0
ćx	0
ćy	0
ćz	0
ćž	0
db	0.0018171691187492407
dc	0.0007121409513130164
dč	0
dć	0
dd	0.000676376117716794
dđ	0
df	0.0003387140122936356
dg	0.001356433909480258
dh	0.0006600715612243986
dj	0.0026339748036747317
dk	0.0016010022568661907
dl	0.0030894504785913286
dm	0.0028911660335063896
dn	0.00812335080725963
dp	0.0014968634766889548
dq	0
dr	0.0058622769891690405
ds	0.0034944346237250233
dš	0
dt	0.0016825250393281681
dv	0.004142409255938935
dw	0.000004733580917147081
dx	0
dy	0.0000031557206114313876
dz	0.0010824121697209658
dž	0
đb	0
đc	0
đč	0
đć	0
đd	0
đđ	0
đf	0
đg	0
đh	0
đj	0
đk	0
đl	0
đm	0
đn	0
đp	0
đq	0
đr	0
đs	0
đš	0
đt	0
đv	0
đw	0
đx	0
đy	0
đz	0
đž	0
fb	0.0000846785030734089
fc	0.00040445819169845616
fč	0
fć	0
fd	0.00007047776032196765
fđ	0
ff	0.00003103125267907531
fg	0.0000846785030734089
fh	0.00001946027710382689
fj	0.00024299048708021685
fk	0.0006290403085453233
fl	0.00076210652766068
fm	0.00015042268247822947
fn	0.0008956987002112755
fp	0.000018934323668588325
fq	0
fr	0.0017524768462148972
fs	0.00048335120698424086
fš	0
ft	0.00041813298101465887
fv	0.00006889990001625196
fw	0
fx	0
fy	0
fz	0.00022878974432877558
fž	0
gb	0.0006069502642653035
gc	0.0001530524496544223
gč	0
gć	0
gd	0.0011534158834781722
gđ	0
gf	0.00006574417940482058
gg	0.00027665150693548495
gh	0.00013569598629154967
gj	0.0010687373804047632
gk	0.0003439735466460212
gl	0.003900470675729195
gm	0.0010045710613056584
gn	0.004464818711740175
gp	0.0007841965719406998
gq	0
gr	0.006502888273289612
gs	0.0013990361377345818
gš	0
gt	0.0009340933009836908
gv	0.0016393968576386057
gw	0
gx	0
gy	5.259534352385646e-7
gz	0.0005454137123423915
gž	0
hb	0.000635351749768186
hc	0.00012202119697534698
hč	0
hć	0
hd	0.0012070631338725057
hđ	0
hf	0.00014148147407917386
hg	0.00042970395658990725
hh	0.00023089355806972986
hj	0.00040761391230988755
hk	0.0010766266819333416
hl	0.0011171250964467111
hm	0.001009830595658044
hn	0.0022179456364010267
hp	0.002280534095194416
hq	0
hr	0.0019781108699322416
hs	0.0014779291530203666
hš	0
ht	0.0010934571918609758
hv	0.0011891807170743946
hw	5.259534352385646e-7
hx	0
hy	0.0000015778603057156938
hz	0.0009151589773151023
hž	0
jb	0.002379413341019266
jc	0.0015084344522642032
jč	0
jć	0
jd	0.005190634452369394
jđ	0
jf	0.000451794000869927
jg	0.0020953984859904415
jh	0.0019717994287093785
jj	0.0023425966005525666
jk	0.0049507996859006085
jl	0.004798799143116663
jm	0.011564664134025559
jn	0.015871170861758925
jp	0.0074091060422056595
jq	0
jr	0.005032322468362586
js	0.008938052678444167
jš	0
jt	0.005417320382957215
jv	0.007897716783542286
jw	0
jx	0
jy	0
jz	0.002756521954085317
jž	0
kb	0.0009272559063255893
kc	0.0012854301957230519
kč	0
kć	0
kd	0.001506330638523249
kđ	0
kf	0.0003329285245060114
kg	0.0012596584773963621
kh	0.002170609827229556
kj	0.002575593972363251
kk	0.002049640537124686
kl	0.0066974910443278815
km	0.008679809541742032
kn	0.006640688073322116
kp	0.004433261505625861
kq	0
kr	0.009417722211381737
ks	0.004152928324643706
kš	0
kt	0.005000239308813033
kv	0.0039919865734607055
kw	0.0000015778603057156938
kx	0
ky	0
kz	0.001189706670509633
kž	0
lb	0.0017082967576548577
lc	0.0019397162691598261
lč	0
lć	0
ld	0.0033718874733144376
lđ	0
lf	0.00046283902300993683
lg	0.0027549440937796013
lh	0.0006900509070329968
lj	0.017460602143049866
lk	0.004351738723163884
ll	0.0012375684331163426
lm	0.003867861562744404
ln	0.00896960988455848
lp	0.004921872246962488
lq	5.259534352385646e-7
lr	0.0030105574633055437
ls	0.005179589430229384
lš	0
lt	0.004863491415651007
lv	0.003683251906975668
lw	0
lx	0.0000010519068704771292
ly	0.000003681674046669952
lz	0.004237606827717115
lž	0
mb	0.0030773535495808415
mc	0.0011418449079029238
mč	0
mć	0
md	0.004109274189518905
mđ	0
mf	0.0008089163833969123
mg	0.0025808535067156366
mh	0.0011544677903486493
mj	0.0034165935153097154
mk	0.005395230338677196
ml	0.005554068276119242
mm	0.0038468234253348616
mn	0.011262766862198622
mp	0.010650557063580934
mq	0
mr	0.007563210398730559
ms	0.007502199800242885
mš	0
mt	0.006216243651084595
mv	0.002138000714244765
mw	0.000002629767176192823
mx	5.259534352385646e-7
my	0
mz	0.003977785830709264
mž	0
nb	0.002015979517269418
nc	0.005229555006577047
nč	0
nć	0
nd	0.005050204885160697
nđ	0
nf	0.0008704529353198244
ng	0.0038405119841119985
nh	0.003877328724578698
nj	0.031524597001329084
nk	0.00745276017733046
nl	0.00399040871315499
nm	0.014847139523349439
nn	0.00635719917172853
np	0.0072123994574264366
nq	0
nr	0.0054741233539629805
ns	0.012395144608267251
nš	0
nt	0.010558515212414184
nv	0.004242866362069501
nw	0.000002629767176192823
nx	0
ny	0.0000031557206114313876
nz	0.004220776317789481
nž	0
pb	0.0005659258963166955
pc	0.0008125980574435823
pč	0
pć	0
